# train_severity_l2r_rank 2026-03-29T09:23:50.258702
# model=xgboost test_mode=train_thresholds csv=severity/logging_monitoring_anomalies.csv
# config=/home/work/lab_project/severity/experiment_config.yaml

[로그 파일] /home/work/lab_project/severity/experiment_logs/all_20260329_092153/logs/l2r_xgboost_train_thresholds.log
[[ 0.      0.     -0.8351 -1.7189  1.4577  0.122   1.0859  0.5791 -1.2547  1.2696 -1.309   1.1615  1.3574  0.7751 -1.7115 -0.1346 -0.9621 -1.3686  1.0604  0.8664  0.7023  0.882   1.3367 -0.8785
   0.4453  0.4473  0.635   0.7097 -1.3365 -0.7106]
 [ 1.      0.      0.1243 -0.3186 -1.2696 -1.2888  0.3412  0.4589  1.4455 -0.1913  0.2913 -1.2219  1.3574  0.6019  1.7109 -1.085  -1.6556  1.5471 -0.5     0.8664 -1.4193 -0.881  -0.4545  1.4664
  -0.45    0.4473 -0.2115  0.0033  1.3381 -1.4171]
 [ 2.      0.      0.9625  0.3535 -1.2696  0.12    0.1687  1.4359 -1.1057 -0.4565  1.3232 -0.0269 -0.5194  0.6019 -0.9671 -0.9529  0.4249 -0.0661  0.493   0.518  -0.7121 -0.2933 -1.3501 -1.4647
   1.3406 -1.3473  0.1516  0.7097 -0.445   1.409 ]
 [ 1.      0.     -1.6167 -1.2117 -0.1787 -0.6923 -1.2574 -0.5276 -0.8082  0.3122  0.5782  1.5341 -0.6584  1.1216 -1.1053  0.515  -0.442  -0.3785  0.7767 -1.5721  0.7023 -1.4687  1.3367 -0.8785
   0.4453 -1.3473  1.5224  0.7097 -1.3365  1.409 ]]
[217]	validation_0-ndcg@32:0.50864
[218]	validation_0-ndcg@32:0.50881
[219]	validation_0-ndcg@32:0.50877
[220]	validation_0-ndcg@32:0.50780
[221]	validation_0-ndcg@32:0.50824
[222]	validation_0-ndcg@32:0.50882
[223]	validation_0-ndcg@32:0.50903
[224]	validation_0-ndcg@32:0.50913
[225]	validation_0-ndcg@32:0.50910
[226]	validation_0-ndcg@32:0.50907
[227]	validation_0-ndcg@32:0.50850
[228]	validation_0-ndcg@32:0.51003
[229]	validation_0-ndcg@32:0.50943
[230]	validation_0-ndcg@32:0.50995
[231]	validation_0-ndcg@32:0.51012
[232]	validation_0-ndcg@32:0.50966
[233]	validation_0-ndcg@32:0.50946
[234]	validation_0-ndcg@32:0.50979
[235]	validation_0-ndcg@32:0.51090
[236]	validation_0-ndcg@32:0.51064
[237]	validation_0-ndcg@32:0.51057
[238]	validation_0-ndcg@32:0.51038
[239]	validation_0-ndcg@32:0.51024
[240]	validation_0-ndcg@32:0.50949
[241]	validation_0-ndcg@32:0.51007
[242]	validation_0-ndcg@32:0.50936
[243]	validation_0-ndcg@32:0.50923
[244]	validation_0-ndcg@32:0.50931
[245]	validation_0-ndcg@32:0.50992
[246]	validation_0-ndcg@32:0.50978
[247]	validation_0-ndcg@32:0.50932
[248]	validation_0-ndcg@32:0.50944
[249]	validation_0-ndcg@32:0.50886
[250]	validation_0-ndcg@32:0.50957
[251]	validation_0-ndcg@32:0.50958
[252]	validation_0-ndcg@32:0.50937
[253]	validation_0-ndcg@32:0.50952
[254]	validation_0-ndcg@32:0.50960
[255]	validation_0-ndcg@32:0.50962
[256]	validation_0-ndcg@32:0.50931
[257]	validation_0-ndcg@32:0.50922
[258]	validation_0-ndcg@32:0.50868
[259]	validation_0-ndcg@32:0.50870
[260]	validation_0-ndcg@32:0.50894
[261]	validation_0-ndcg@32:0.50876
[262]	validation_0-ndcg@32:0.50887
[263]	validation_0-ndcg@32:0.50870
[264]	validation_0-ndcg@32:0.50966
[265]	validation_0-ndcg@32:0.50884
[266]	validation_0-ndcg@32:0.50871
[267]	validation_0-ndcg@32:0.50862
[268]	validation_0-ndcg@32:0.50885
[269]	validation_0-ndcg@32:0.50880
[270]	validation_0-ndcg@32:0.50868
[271]	validation_0-ndcg@32:0.50852
[272]	validation_0-ndcg@32:0.50852
[273]	validation_0-ndcg@32:0.50860
[274]	validation_0-ndcg@32:0.50887
[275]	validation_0-ndcg@32:0.50889
[276]	validation_0-ndcg@32:0.50825
[277]	validation_0-ndcg@32:0.50820
[278]	validation_0-ndcg@32:0.50818
[279]	validation_0-ndcg@32:0.50795
[280]	validation_0-ndcg@32:0.50856
[281]	validation_0-ndcg@32:0.50855
[282]	validation_0-ndcg@32:0.50875
[283]	validation_0-ndcg@32:0.50860
[284]	validation_0-ndcg@32:0.50891
[285]	validation_0-ndcg@32:0.50844
[286]	validation_0-ndcg@32:0.50836
[287]	validation_0-ndcg@32:0.50839
[288]	validation_0-ndcg@32:0.50845
[289]	validation_0-ndcg@32:0.50879
[290]	validation_0-ndcg@32:0.50870
[291]	validation_0-ndcg@32:0.50858
[292]	validation_0-ndcg@32:0.50854
[293]	validation_0-ndcg@32:0.50836
[294]	validation_0-ndcg@32:0.50869
[295]	validation_0-ndcg@32:0.50865
[296]	validation_0-ndcg@32:0.50845
[297]	validation_0-ndcg@32:0.50872
[298]	validation_0-ndcg@32:0.50858
[299]	validation_0-ndcg@32:0.50862

[피처 중요도 로그] /home/work/lab_project/severity/feature_importance_train_severity_l2r_xgboost_train_thresholds.log

[검증] train score 경계(threshold) 기준 분류 정확도(참고): 0.2471

[Train] 실제 Severity와 비교

=== Train (train_thresholds) ===
Accuracy: 0.2923
Macro precision: 0.2922
Macro recall: 0.2922
Macro F1: 0.2922
Weighted precision: 0.2923
Weighted recall: 0.2923
Weighted F1: 0.2923
              precision    recall  f1-score   support

    Critical     0.3727    0.3727    0.3727     15114
        High     0.2426    0.2426    0.2426     15048
      Medium     0.2594    0.2594    0.2594     14906
         Low     0.2941    0.2941    0.2941     14932

    accuracy                         0.2923     60000
   macro avg     0.2922    0.2922    0.2922     60000
weighted avg     0.2923    0.2923    0.2923     60000


Train에서 추정한 score 경계(내림차순 상위부터 Critical→…): [-0.052583 -0.178548 -0.247795]
(참고) train score min/max: -0.851445 / 2.228653

[Test] 실제 Severity와 비교

=== Test (mode=train_thresholds) ===
Accuracy: 0.2532
Macro precision: 0.2518
Macro recall: 0.2496
Macro F1: 0.1662
Weighted precision: 0.2518
Weighted recall: 0.2532
Weighted F1: 0.1675
              precision    recall  f1-score   support

    Critical     0.2540    0.7958    0.3851      5108
        High     0.2508    0.1526    0.1898      4920
      Medium     0.2451    0.0324    0.0573      5027
         Low     0.2575    0.0174    0.0326      4945

    accuracy                         0.2532     20000
   macro avg     0.2518    0.2496    0.1662     20000
weighted avg     0.2518    0.2532    0.1675     20000


저장: severity/logging_monitoring_anomalies_l2r_xgboost_train_thresholds.csv

=== 소요 시간 ===
CSV 로드·train/val/test 분할: 0.362 s
전처리(인코딩·스케일) + 학습(train∪val L2R): 17.112 s
추론·경계·Train·Val·Test 평가·저장(전수): 2.708 s
  └ Test severity 정답 비교(report_metrics)만: 0.367 s
전체: 26.392 s

=== 랭킹 지표 MRR (L2R/metrics, relevance=0..3) ===
Validation MRR: 0.854042
Test MRR:       0.860030
